Date,Location,County,Time,Initials,Scoter present,Flyover?,Heard/Recorded,Comments,
02/04/2020,St Albans AL1,Hertfordshire,22:48,RE,Y,Y,Heard & Recorded,Calling almost continuously b/w 22:45-22.55,
02/04/2020,Crosby,Merseyside,21.02, PK, Y, Y, Heard, 4 sets of calls heard between 21.00-21.30,
02/04/2020,Stalybridge,Gtr Manchester,0:05,RB,Y,Y,Heard,,
02/04/2020,Macclesfield,Cheshire,22:09,JDA,Y,Y,,,
2/4/20,Darley Dale,Derbyshire,0:06,SJR,Y,Y,Rec,,
02/04/20,Penarth,Glamorgan,0:09,GNS,Y,Y,Rec,,
01/04/2020,Moss Side,Greater Manchester,0:10,OM,Y,Y,Rec,,
02/04/2020,Stalybridge,Gtr Manchester,0:15,RB,Y,Y,,,
1/4/20,Hessay,North Yorkshire,0:15,STE,Y,Y,recorded,,
01/04/2020,Wheldrake,Yorkshire,0:18,TDJ,Y,Y,Rec,,
01/04/2020,Scarborough,North Yorkshire,0:18,NWA,Y,Y,Recorded,,
2/4/20,Desborough,Northamptonshire,0:25,LA,Y,Y,Heard,,
1/4/20,Hessay,North Yorkshire,0:25,STE,Y,Y,recorded,,
30/03/2020,Claughton,Lancashire,0:28,JR,Y,Y,,,
01/04/2020,Kilnsea,Yorkshire,0:30,JMS,Y,Y,Rec + Heard,,
02/04/20,Penarth,Glamorgan,0:30,GNS,Y,Y,Rec,no more flocks 00:30-06:45.,
02/04/2020,Dungeness,Kent,0:36,SZP (Samuel Perfect),Y,Y,Rec,,
02/04/2020,Great Massingham,Norfolk,1:00,GSE,Y,Y,Rec,,
01/04/2020,Windsor ,Berkshire ,1:00,JD,Y,Y,Heard + Rec,,
01/04/2020,Kilnsea,Yorkshire,1:10,JMS,Y,Y,Rec + Heard,,
02/04/2020,Wanstead E11,Greater London,1:19,JL,Y,Y,Rec,,
01/04/2020,Scarborough,North Yorkshire,1:22,NWA,Y,Y,Recorded,,
01/04/2020,"Valley Rd, Scarborough",North Yorkshire,1:27,MMc,Y,Y,Heard,,
01/04/2020,Newark,Nottinghamshire ,1:37,NCC,Y,Y,Rec,,
02/04/2020,Cambridge,Cambs,1:41,JJH,N,Y,Recorded,,
26/03/2020,Cambridge,Cambridgeshire,2:15,SG,Y,Y,Rec,,
01/04/2020,"Valley Rd, Scarborough",North Yorkshire,2:25,MMc,Y,Y,Heard,,
01/04/2020,Sudbury,Suffolk,2:25,RSB,Y,Y,Recorded,,
04/02/2020,Thetford,Norfolk,2:49,NJM,Y,Y,Rec,,
02/04/2020,Liverpool,Lancs/Merseyside,2:50,JG,Y,Y,Recorded,,
02/04/2020,Great Massingham,Norfolk,3:00,GSE,Y,Y,Rec,,
01/04/2020,Great Massingham,Norfolk,3:45,GSE,Y,Y,Rec,,
1/4/2020,Skelton,Cleveland,4:00,DAM,Y,Y,Heard,,
02/04/2020,Dungeness,Kent,4:37,SZP (Samuel Perfect),Y,Y,Rec,,
01/04/2020,Hessle,East Yorkshire ,10:20,PW,Y,Y,Heard,,
24/03/2020,Clitheroe,Lancashire,20:10,JM,Y,Y,Heard,,
01/04/2020,Preston ,Lancashire ,20:15,APB,Y,Y,Heard,2 flocks,
01/04/2020,Maghull,Merseyside,20:54,DG,Y,Y,Heard,,
01/04/2020,Blackburn,Lancashire,20:55,WCA,Y,Y,Heard,,
01/04/2020,Whitefield,Manchester ,20:58,SJ,Y,Y,Heard,7 flocks heard over up until 22:30,
01/04/2020,Tynemouth,Northumberland,21:00,TJT,Y,Y,,,
31/03/2020,Clitheroe,Lancashire,21:08,JM,Y,Y,Rec,,
01/04/2020,Didsbury,Greater Manchester,21:09,CR,Y,Y,Heard,,
02/04/2020,Clitheroe,Lancashire,21:10,JM,Y,Y,Rec + Heard + Seen,Around 15 flocks seen with thermal imager between 21:10 and 21:40. All flocks were small with around 10 birds or less. A flock of 10 makes calls constantly perhaps making it sound like there are more than there actually are.,
24/03/2020,Clitheroe,Lancashire,21:11,JM,Y,Y,Rec + Heard,,
31/03/2020,Clitheroe,Lancashire,21:13,JM,Y,Y,Rec,,
01/04/2020,Hadfield,Derbyshire,21:15,ACL,Y,Y,Rec + heard,,
01/04/2020,Hadfield,Derbyshire,21:18,ACL,Y,Y,Rec + heard,,
02/04/20,Mytholmroyd ,West Yorkshire ,21:18,MJB,Y,Y,Heard,,
01/04/2020,Stalybridge,Greater Manchester,21:20,GT,Y,Y,heard,,
01/04/2020,Hadfield,Derbyshire,21:20,ACL,Y,Y,Rec + heard,,
01/04/2020,Clitheroe,Lancashire,21:20,JM,Y,Y,Rec + Heard,,
31/03/2020,Clitheroe,Lancashire,21:20,JM,Y,Y,Rec,,
02/04/20,Mytholmroyd,West Yorkshire,21:20,MJB,Y,Y,Heard,,
01/04/2020,Maghull,Merseyside,21:22,DG,Y,Y,Heard,,
02/04/20,Mytholmroyd,West Yorkshire,21:23,MJB,Y,Y,Heard,,
01/04/2020,Hadfield,Derbyshire,21:24,ACL,Y,Y,Rec + heard,,
01/04/2020,Hadfield,Derbyshire,21:25,ACL,Y,Y,Rec + heard,,
01/04/2020,Clitheroe,Lancashire,21:25,JM,Y,Y,Rec,,
31/03/2020,Sheffield,South Yorkshire,21:25,KL,Y,Y,Rec,,
01/04/2020,Clitheroe,Lancashire,21:27,JM,Y,Y,Rec,,
02/04/2020,Winsford,Cheshire,21:27,ZH,Y,,,,
02/04,Mytholmroyd,West Yorkshire,21:28,MJB,Y,Y,Heard,,
01/04/2020,Hadfield,Derbyshire,21:29,ACL,Y,Y,Rec + heard,,
31/03/2020,Sheffield,South Yorkshire,21:29,KL,Y,Y,Rec,,
31/03/2020,Clitheroe,Lancashire,21:30,JM,Y,Y,Rec,,
01/04/2020,Shaw,Greater Manchester,21:30,GRC,Y,Y,Heard,2 parties at 21:30 and 21:40 heading East ,
02/04/2020,Severn Beach,Avon/South Gloucestershire,21:30,PDB,Y,Y,Heard,several flocks in 5 minutes,
01/04/2020,Stalybridge,Greater Manchester,21:31,GT,Y,Y,heard,,
01/04/2020,Hadfield,Derbyshire,21:31,ACL,Y,Y,Rec + heard,,
01/04/2020,Hadfield,Derbyshire,21:32,ACL,Y,Y,Rec + heard,,
02/04/20,Mytholmroyd,West Yorkshire,21:32,MJB,Y,Y,Heard,,
01/04/2020,Didsbury,Greater Manchester,21:33,CR,Y,Y,Heard,,
25/03/2020,Whitburn,Durham,21:35,DMF,Y,Y,heard+recorded,,
30/03/2020,Clitheroe,Lancashire,21:35,JM,Y,Y,Rec,,
02/04/20,Mytholmroyd,West Yorkshire,21:35,MJB,Y,Y,Heard,,
01/04/2020,Hadfield,Derbyshire,21:36,ACL,Y,Y,Rec + heard,,
24/03/2020,Hunmanby,North Yorkshire,21:37,WS,Y,Y,Rec,,
30/03/2020,Clitheroe,Lancashire,21:38,JM,Y,Y,Rec,,
01/04/2020,Hadfield,Derbyshire,21:39,ACL,Y,Y,Rec + heard,,
31/03/2020,Clitheroe,Lancashire,21:39,JM,Y,Y,Rec,,
30/03/2020,Clitheroe,Lancashire,21:39,JM,Y,Y,Rec,,
30/03/2020,Clitheroe,Lancashire,21:40,JM,Y,Y,Rec,,
01/04/2020,Morpeth,Northumberland,21:40,JF,Y,Y,Heard,,
01/04/2020,Hadfield,Derbyshire,21:41,ACL,Y,Y,Rec + heard,,
31/03/2020,Clitheroe,Lancashire,21:41,JM,Y,Y,Rec + Heard,,
01/04/2020,Warrington ,Cheshire,21:42,DO,Y,Y,Heard,,
30/03/2020,Clitheroe,Lancashire,21:42,JM,Y,Y,Rec,,
01/04/2020,Hexham,Northumberland,21:42,LD,Y,Y,Rec + heard,last flock 2230,
02/04/2020,Cardiff,East Glamirgan,21:42,PB,Y,Y,Heard,,
31/03/2020,Clitheroe,Lancashire,21:43,JM,Y,Y,Rec,,
30/03/2020,Clitheroe,Lancashire,21:44,JM,Y,Y,Rec,,
31/03/2020,Clitheroe,Lancashire,21:45,JM,Y,Y,Rec,,
01/04/2020,Stalybridge,Greater Manchester,21:46,GT,Y,Y,heard,,
01/04/2020,Hadfield,Derbyshire,21:46,ACL,Y,Y,Rec + heard,,
31/03/2020,Hadfield,Derbyshire,21:47,ACL,Y,Y,Rec + heard,,
30/03/2020,Clitheroe,Lancashire,21:47,JM,Y,Y,Rec,,
01/04/2020,Warrington ,Cheshire,21:48,DO,Y,Y,Heard,,
31/03/2020,Clitheroe,Lancashire,21:49,JM,Y,Y,Rec,,
30/03/2020,Clitheroe,Lancashire,21:49,JM,Y,Y,Rec,,
01/04/2020,Wheldrake,Yorkshire,21:50,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Hadfield,Derbyshire,21:50,ACL,Y,Y,Rec + heard,,
25/03/2020,Whitburn,Durham,21:50,DMF,Y,Y,heard+recorded,,
01/04/2020,"Oulton, Leeds",West Yorkshire,21:50,RDH,Y,Y,Heard,3 parties east between 21:50 & 22:00,
30/03/2020,Clitheroe,Lancashire,21:51,JM,Y,Y,Rec,,
31/03/2020,Hexham,Northumberland,21:51,LD,N,Y,Rec,,
01/04/2020,Hadfield,Derbyshire,21:52,ACL,Y,Y,Rec + heard,,
01/04/2020,Disley,Cheshire,21:53,RS,Y,Y,heard,,
31/03/2020,Clitheroe,Lancashire,21:54,JM,Y,Y,Rec,,
31/03/2020,Sheffield,South Yorkshire,21:54,KL,Y,Y,Rec,,
01/04/2020,Wheldrake,Yorkshire,21:55,TDJ,Y,Y,Rec + Heard,,
31/03/2020,Clitheroe,Lancashire,21:55,JM,Y,Y,Rec,,
01/04/20,Penarth,Glamorgan,21:55,GNS,Y,Y,Rec,,
01/04/2020,Warrington ,Cheshire,21:56,DO,Y,Y,Heard,,
31/03/2020,Hadfield,Derbyshire,21:57,ACL,Y,Y,Rec + heard,,
2/4/2020,Chippenham ,Wiltshire ,21:57,TJHS,Y,Y,,,
1/4/2020,hawksworth,West Yorkshire,21:58,RW,Y,y,,,
01/04/2020,Stalybridge,Greater Manchester,21:59,GT,Y,Y,heard,,
01/04/2020,Askern,Yorkshire,22:00,Ryan McLarence per WhatsApp,Y,Y,Rec + Heard,,
31/3/2020,Hawksworth,West Yorkshire,22:00,RW,Y,Y,heard ,,
24/03/2020,Hunmanby ,North Yorkshire,21:37,WS,Y,Y,Rec,,
24/03/2020,Hunmanby ,North Yorkshire,21:39,WS,Y,Y,Recorded,,
24/03/2020,Hunmanby ,North Yorkshire,22:25,WS,Y,Y,Recorded,,
24/03/2020,Hunmanby ,North Yorkshire,23:36,WS,Y,Y,Recorded,,
24/03/2020,Hunmanby ,North Yorkshire,23:42,WS,Y,Y,Recorded,,
25/03/2020,Hunmanby,North Yorkshire,21:59,WS,Y,Y,Recorded,,
31/03/2020,Hadfield,Derbyshire,22:00,ACL,Y,Y,Rec + heard,,
1/4/20,Hessay,North Yorkshire,22:00,STE,Y,Y,recorded,,
02/04/2020,Heaton,Tyne & Wear,22:00,PHC,Y,Y,Heard,,
02/04/20,Wewlyn Garden City,Hertfordshire,22:00,DJL,Y,Y,Heard,,
01/04/2020,Wheldrake,Yorkshire,22:01,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Heaton,Tyne & Wear,22:01,PHC,Y,Y,Heard,,
01/04/2020,Hadfield,Derbyshire,22:01,ACL,Y,Y,Rec + heard,,
01/04/2020,Wheldrake,Yorkshire,22:02,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Wheldrake,Yorkshire,22:03,TDJ,Y,Y,Rec + Heard,,
31/3/2020,Hawksworth,West Yorkshire,22:05,RW,Y,Y,heard ,,
31/03/2020,Hadfield,Derbyshire,22:05,ACL,Y,Y,Rec + heard,,
1/4/2020,Upton,Yorkshire,22:05,JH,Y,Y,Heard,,
01/04/2020,Morpeth ,Northumberland,22:05,JF,Y,Y,Rec + Heard,,
01/04/2020,Wheldrake,Yorkshire,22:06,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Longhirst Hall,Northumberland,22:06,PJR,Y,Y,Heard,,
01/04/2020,Wheldrake,Yorkshire,22:07,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Wheldrake,Yorkshire,22:09,TDJ,Y,Y,Rec + Heard,,
31/03/2020,Hadfield,Derbyshire,22:09,ACL,Y,Y,Rec + heard,,
01/04/2020,Wheldrake,Yorkshire,22:10,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Longridge,Lancashire,22:10,GT,Y,Y,Heard,,
01/04/2020,North Cave,East Yorkshire ,22:10,GAD,Y,Y,Heard,2 flocks 22:10 and 22:40 heading East,
01/04/2020,Wheldrake,Yorkshire,22:11,TDJ,Y,Y,Rec + Heard,,
31/03/2020,Hadfield,Derbyshire,22:11,ACL,Y,Y,Rec + heard,,
02/04/2020,Sunderland ,Durham,22:11,AK,Y,Y,Heard,,
01/04/2020,Wheldrake,Yorkshire,22:12,TDJ,Y,Y,Rec + Heard,,
31/03/2020,Sheffield,South Yorkshire,22:12,KL,Y,Y,Rec,Checked recs 21:15-01:30,
01/04/2020,Hunmanby,North Yorkshire,22:45,WS,Y,Y,Heard and Recorded ,,
01/04/2020,Hunmanby,North Yorkshire,22:50,WS,Y,Y,Heard and Recorded ,,
01/04/2020,Hunmanby,North Yorkshire,22:55,WS,Y,Y,Heard and Recorded ,,
01/04/2020,Hunmanby,North Yorkshire,23:26,WS,Y,Y,Heard and Recorded ,,
01/04/2020,Hunmanby,North Yorkshire,23:29,WS,Y,Y,Heard and Recorded ,,
01/04/2020,Hunmanby,North Yorkshire,23:31,WS,Y,Y,Heard and Recorded ,,
01/04/2020,Hunmanby,North Yorkshire,23:37,WS,Y,Y,Heard and Recorded ,,
31/03/2020,Moss Side,Greater Manchester,22:13,OM,Y,Y,Rec,,
01/04/2020,Hadfield,Derbyshire,22:13,ACL,Y,Y,Rec + heard,,
01/04/20,Penarth,Glamorgan,22:13,GNS,Y,Y,Rec,,
02/04/2020,Nafferton,East Yorkshire,22:14,JAS,Y,Y,Rec + Heard,,
01/04/2020,Tynemouth ,Northumberland ,22:15,DW,Y,Y,Heard,at least four flocks over 22:15-22:30,
01/04/2020,"Acomb, York",North Yorkshire,22:15,CT,Y,Y,Heard,"Eastbound, to the south - faint",
01/04/2020,Heaton,Tyne & Wear,22:16,PHC,Y,Y,Heard,,
01/04/2020,Wheldrake,Yorkshire,22:17,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Stobswood,Northumberland,22:17,NJR,Y,Y,Heard,,
02/04/2020,Nafferton,East Yorkshire,22:17,JAS,Y,Y,Rec + Heard,,
02/04/2020,Heaton,Tyne & Wear,22:17,PHC,Y,Y,Heard,,
26/03/20,South Shields,Durham,22:18,JC,Y,Y,Recorded,,
29/03/2020,Claughton,Lancashire,22:18,JR,Y,Y,,,
02/04/2020,Nafferton,East Yorkshire,22:19,JAS,Y,Y,Rec + Heard,,
31/3/2020,Hawksworth,West Yorkshire,22:20,RW,Y,Y,heard ,,
01/04/2020,Swinton,Manchester ,22:20,SEC,Y,Y,Heard,Eastbound,
01/04/20,South Shields,Durham,22:21,JC,Y,Y,Recorded,,
02/04/2020,Nafferton,East Yorkshire,22:21,JAS,Y,Y,Rec + Heard,,
01/04/2020,Wheldrake,Yorkshire,22:22,TDJ,Y,Y,Rec + Heard,,
02/04/2020,Nafferton,East Yorkshire,22:23,JAS,Y,Y,Heard,,
02/04/2020,Stobswood,Northumberland,22:23,NJR,Y,Y,Heard,,
01/04/2020,Hadfield,Derbyshire,22:24,ACL,Y,Y,Rec + heard,,
01/04/2020,Wheldrake,Yorkshire,22:25,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Nafferton,East Yorkshire,22:25,JAS,Y,Y,Heard,,
01/04/2020,"Crossgates,Scarborough",North Yorkshire,22:28,DL,Y,Y,Heard,,
01/04/2020,Nafferton,East Yorkshire,22:28,JAS,Y,Y,Heard,,
02/04/2020,Heaton,Tyne & Wear,22:28,PHC,Y,Y,Heard,,
02/04/2020,Sunderland ,Durham,22:28,AK,Y,Y,Heard,,
02/04/2020,Winsford,Cheshire,22:28,ZH,Y,Y,Heard,,
02/04/2020,Nafferton,East Yorkshire,22:29,JAS,Y,Y,Heard,,
02/04/2020,Winsford,Cheshire,22:29,ZH,Y,Y,Heard,,
01/04/2020,Longridge,Lancashire,22:30,GT,Y,Y,Heard,Eastbound over garden. Only one(s) heard between 22:10 and 22:55 but breeze through trees made listening difficult most of the time.,
01/04/2020,Wheldrake,Yorkshire,22:31,TDJ,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,22:31,Jason Spinks (JMS),Y,Y,Rec + Heard,,
31/03/2020,Hadfield,Derbyshire,22:31,ACL,Y,Y,Rec + heard,,
01/04/2020,"Acomb, York",North Yorkshire,22:31,CT,Y,Y,Heard,"Eastbound, directly overhead",
01/04/2020,Stalham,Norfolk,22:33,AJB,Y,Y,Heard,,
31/03/2020,Hadfield,Derbyshire,22:34,ACL,Y,Y,Rec + heard,,
01/04/2020,Hadfield,Derbyshire,22:34,ACL,Y,Y,Rec + heard,,
31/3/20,Darley Dale,Derbyshire,22:35,SJR,Y,Y,Rec,,
02/04/2020,Stobswood,Northumberland,22:35,NJR,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,22:36,JMS,Y,Y,Rec + Heard,,
01/04/2020,Hull,East Yorkshire,22:36,AG,Y,Y,heard,c,
31/03/2020,Sheffield,South Yorkshire,22:36,KL,Y,Y,Rec,,
01/04/20,Hull,Yorkshire,22:37,AG,Y,Y,heard,,
01/04/20,Penarth ,Glamorgan,22:37,GNS,Y,Y,Rec,,
01/04/2020,Nafferton,East Yorkshire,22:38,JAS,Y,Y,Heard,,
1/4/2020,Skelton,Cleveland,22:38,DAM,Y,Y,,,
01/04/2020,Kilnsea,Yorkshire,22:39,JMS,Y,Y,Rec + Heard,,
01/04/2020,Stalham,Norfolk,22:39,AJB,Y,Y,Heard,,
31/03/2020,Wheldrake,Yorkshire,22:40,TDJ,Y,Y,Heard,,
01/04/2020,Nafferton,East Yorkshire,22:40,JAS,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,22:42,JMS,Y,Y,Rec + Heard,,
01/04/2020,Nafferton,East Yorkshire,22:42,JAS,Y,Y,Heard,,
01/04/2020,"Crossgates, Scarborough",North Yorkshire,22:43,DL,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,22:44,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,22:45,JMS,Y,Y,Rec + Heard,,
01/04/2020,Hunmanby,North Yorkshire ,22:45,WS,Y,Y,Rec + heard,,
01/04/2020,Hunmanby,East Yorkshire,22:45,WS,Y,Y,,,
01/04/20,Flamborough,East Yorkshire,22:45,TH ,Y,Y,Heard,eastbound over village,
01/04/2020,Kilnsea,Yorkshire,22:46,JMS,Y,Y,Rec + Heard,,
01/04//2020,Poole Harbour,Dorset,22:47,PM,Y,Y,,,
31/03/2020,Sheffield,South Yorkshire,22:48,AD,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,22:49,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,22:50,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,22:51,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,22:53,JMS,Y,Y,Rec + Heard,,
1/4/20,Bishopthorpe,Yorkshire,22:53,JDL,Y,Y,Heard,1 flock flew east,
01/04/2020,Kilnsea,Yorkshire,22:54,JMS,Y,Y,Rec + Heard,,
01/04/2020,Wheldrake,Yorkshire,22:55,TDJ,Y,Y,Rec,,
01/04/2020,Nafferton,East Yorkshire,22:55,JAS,Y,Y,Heard,,
01/04/20,Flamborough,East Yorkshire,22:55,TH ,Y,Y,Heard,eastbound over village,
02/04/20,Welwyn Garden City,Hertfordshire,22:55,DJL,Y,Y,Heard,,
02/04/20,Louth,Lincolnshire,22:55,OLB,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,22:56,JMS,Y,Y,Rec + Heard,200+ calls,
01/04/2020,Kilnsea,Yorkshire,22:59,JMS,Y,Y,Rec + Heard,200+ calls,
01/04/2020,Wheldrake,Yorkshire,23:00,TDJ,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,23:00,JMS,Y,Y,Rec + Heard,,
31/03/2020,Stoke on Trent,Staffs,23:00,AL,N,Y,Recorded,,
02/04/20,Louth,Lincolnshire,23:00,OLB,Y,Y,Heard,,
01/04/2020,Wheldrake,Yorkshire,23:01,TDJ,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,23:01,JMS,Y,Y,Rec + Heard,,
01/04/2020,Wheldrake,Yorkshire,23:03,TDJ,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,23:03,JMS,Y,Y,Rec + Heard,,
02/04/20,Welwtn Garden City,Hertfordshire,23:03,DJL,Y,Y,Heard,,
31/03/2020,Sheffield,South Yorkshire,23:04,KL,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,23:05,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,23:06,JMS,Y,Y,Rec + Heard,,
01/04/2020,"Crossgates, Scarborough",North Yorkshire,23:06,DL,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,23:07,JMS,Y,Y,Rec + Heard,,
31/3/20,Darley Dale,Derbyshire,23:08,SJR,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,23:11,JMS,Y,Y,Rec + Heard,,
01/04/20,Penarth,Glamorgan,23:11,GNS,Y,Y,Rec,,
01/04/2020,Kilnsea,Yorkshire,23:12,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,23:14,JMS,Y,Y,Rec + Heard,155 calls,
01/04/2020,Kilnsea,Yorkshire,23:14,JMS,Y,Y,Rec + Heard,,
01/04/20,Flamborough,East Yorkshire,23:15,TH ,Y,Y,Heard,eastbound over village,
01/04/2020,Kilnsea,Yorkshire,23:16,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,23:18,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,23:19,JMS,Y,Y,Rec + Heard,200+ calls,
01/04/2020,Monkseaton,North Tyneside,23:20,JB,Y,Y,Heard,,
01/04/20,South Shields,Durham,23:20,JC,Y,Y,Recorded,,
01/04/2020,Kilnsea,Yorkshire,23:22,JMS,Y,Y,Rec + Heard,200+ calls,
01/04/20,South Shields,Durham,23:23,,Y,Y,Recorded,,
01/04/2020,Ilminster,Somerset,23:28,JLT,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,23:29,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,23:30,JMS,Y,Y,Rec + Heard,,
01/04/2020,Poole Harbour,Dorset,23:30,PM,Y,Y,,,
1/4/2020,Chorlton,Greater Manchester,23:30,SJM,Y,Y,Heard,,
02/04/20,Mytholmroyd,West Yorkshire,23:31,MJB,Y,Y,Heard,,
01/04/2020,Kilnsea,Yorkshire,23:34,JMS,Y,Y,Rec + Heard,,
01/04/2020,Kilnsea,Yorkshire,23:38,JMS,Y,Y,Rec + Heard,200+ calls,
01/04/2020,Kilnsea,Yorkshire,23:40,JMS,Y,Y,Rec + Heard,200+ calls,
01/04/2020,Poole Harbour,Dorset,23:40,PM,Y,Y,,,
31/03/2020,Newark,Nottinghamshire ,23:40,NCC,Y,Y,Rec,,
01/04/2020,Barna,"Galway, IE",23:45,CF,Y,Y,Rec+Heard,,
31/03/2020,Scarborough,North Yorkshire,23:48,NWA,Y,Y,Recorded,,
01/04/2020,Poole Harbour,Dorset,23:56,PM,Y,Y,,,
01/04/2020,Moss Side,Greater Manchester,23:57,OM,Y,Y,Rec,,
1/4/2020,Carrickmacross,"Monaghan, IE",23:58,BMcC,Y,Y,Heard,,
