Date,Location,County,Time,Initials,Scoter present,Flyover?,Heard/Recorded,Comments,
01/04/2020,Rosedale,North Yorkshire,10.4,MW,Y,Y,Heard + Rec,,
02/04/20,Heacham,Norfolk,11.56,AMc JAM,Y,Y,Rec + Heard,,
02/04/2020,"Oulton, Leeds",West Yorkshire,21.38,RDH,Y,Y,Heard,,
02/04/2020,Mossley Hill,Merseyside,21.46,DC,Y,Y,Heard,,
02/04/2020,"Oulton, Leeds",West Yorkshire,21.47,RDH,Y,Y,Heard,,
02/04/2020,"Oulton, Leeds",West Yorkshire,21.48,RDH,Y,Y,Heard,,
02/04/2020,"Oulton, Leeds",West Yorkshire,21.49,RDH,Y,Y,Heard,,
02/04/2020,"Oulton, Leeds",West Yorkshire,21.55,RDH,Y,Y,Heard,,
02/04/2020,"Oulton, Leeds",West Yorkshire,21.59,RDH,Y,Y,Heard,,
02/04/2020,Tynemouth,Northumberland,22.13,TJT,Y,Y,Heard," Parties at 22.17pm, 22.22pm, 22.28pm, 22.42pm, 22.45pm",
02/04/2020,Pocklington ,East Yorks,22.39,CJM,Y,Y,Heard,,
01/04/20,Scarborough,North Yorkshire,22.43,NWA,Y,Y,Recoded,,
31/03/2020,Scarborough,North Yorkshire,22.52,NWA,Y,,Recorded,,
01/04/2020,Mossley Hill,Merseyside,22.55,DC,Y,Y,Heard,,
01/04/2020,"Norwich, 52.622182, 1.283867",Norfolk,23.14,MH,Y,Y ,Heard,,
31/03/2020,Kites Hardwick,Warwickshire,23.15,TDC,Y,Y,Rec,,
01/04/2020,Stalybridge,Gtr Manchester,23.35,RB,Y,Y,Heard,,
01/04/2020,Grantham,Lincolnshire,23.4,TML,Y,Y,Rec,Single flock Eastbound ,
1/4/2020,Chorlton,Greater Manchester,23.48,SJM,Y,Y,Heard,,
01/04/2020,Belper,Derbyshire,23.51,SLH,y,y,heard,,
02/04/2020,Cottingham,E Yorks,2216,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2219,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2220,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2220,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2221,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2222,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2224,HW,Y,Y,Both,v big,
02/04/2020,Cottingham,E Yorks,2224,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2225,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2226,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2229,HW,Y,Y,Both,v big,
31/3/20,Hessay,North Yorkshire,2230,STE,Y,Y,recorded,,
31/03/2020,Stafford,Staffordshire,2230,CD,Y,Y,Rec,3 flocks between 2230-2345,
01/04/2020,Cottingham,E Yorks,2230,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2231,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2232,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2232,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2233,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2235,HW,Y,Y,Both,,
02/04/2020,Thame,Oxfordshire,2235,LM,Y,Y,Heard ,over NE,
02/04/2020,Cottingham,E Yorks,2236,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2238,HW,Y,Y,Both,big,
02/04/2020,Cottingham,E Yorks,2238,HW,Y,Y,Both,,
01/04/20,Flamboro ,East Yorkshire ,2240,JMcL,Y,Y,Heard,,
01/04/2020,Cottingham,E Yorks,2240,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2247,HW,Y,Y,Both,single male call,
01/04/2020,Cottingham,E Yorks,2251,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2252,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2253,HW,Y,Y,Both,,
02/04/2020,Skegness,Lincolnshire ,2255,SAA,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2258,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2300,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,2304,HW,Y,Y,Both,,
1/4/20,Hessay,North Yorkshire,2305,STE,Y,Y,recorded,,
02/04/2020,Cottingham,E Yorks,2309,HW,Y,Y,Both,seemingly one female calling,
01/04/2020,Cottingham,E Yorks,2329,HW,Y,Y,Both,,
01/04/2020,Cottingham,E Yorks,2346,HW,Y,Y,Both,,
02/04/2020,Cottingham,E Yorks,00-12hrs,HW,Y,Y,Both,,
01/04/2020,Whitburn,Durham,2156-2359,DMF,Y,Y,heard+recorded,14 flocks,
31/03/2020,Whitburn,Durham,"22:10, 22:32",DMF,Y,Y,heard+recorded,,
01-02/04/2020,Newark ,Nottinghamshire ,N/A,NCC,N,NA,Rec,"Recorded overnight, no calls",
01/04/2020,Higher Vexford,Somerset,NA,WL,N,N,Rec,,
31/03/20,Higher Vexford,Somerset,NA,WL,N,N,Rec,,
30/03/20,Higher Vexford,Somerset,NA,WL,N,N,Rec,,
02/04/2020,Knaresborough,North Yorkshire,NA,DRJW,N,N,,,
01/04/2020,"Green Lanes, Manor House, London N4",London,NA,NTK,N,n/a,n/a,Listened from 23:15 to 00:15. No calls heard.,
01-02/04/2020,Sunderland,Durham,NA,AK,N,N,Heard,"None, very close to River Wear. 1 and a half hour (23:00-00:30)",
31/03/2020,Windsor,Berkshire,NA,JD,N,NA,NA,,
01/04/2020,Merrion,"Dublin, IE",NA,JP,N,N,NA,"listened from 12-1, no calls heard",
01-02/04/20,Banbury,Oxfordshire,NA,GB,N,NA,NA,"Recorded overnight, no calls heard",
01/04/20,oakwood,london,NA,EDH,N,N,NA,"listened for an hour, 12-1am nothing heard",
01/04/2020,Aviemore,Highland,NA,PS,N,N,n/a,"recorded overnight, no calls heard",
01/04/2020,"Gosforth, Newcastle upon tyne",Tyne and Wear,,SJM,Y,Y,,5 groups of calling birds between time stated and 11.30pm,
02/04/2020,Swinton ,Manchester ,,SEC,N,,,,
02/04/2020,Finchley,London ,23:58,SGL,Y,Y,Heard,one large group flew over between 23:58 and 00:00 ,
01/04/2020,Dursely,Gloucestershire,23:30,JDHB,Y,NA,Heard,1 small group of birds,
02/04/2020,Nailsworth,Gloucestershire,0:30,LL,Y,NA,Heard,,
03/03/2020,Stalybridge,Gtr Manchester,0.01,RB,Y,Y,Heard,,
03/03/2020,Stalybridge,Gtr Manchester,0.11,RB,Y,Y,Heard,,
02/04/2020,Tufnell Park,London,23:56,RB,Y,Y,Heard,One flock heard at 23:56,
02/04/2020,Whitefield ,Manchester ,21.28,SJ,Y,Y,Heard,,
02/04/2020,Blackburn ,Lancashire ,20:59,WCA,Y,Y,Heard,20:55-23:00. Almost constantly heard during first hour. Infrequent thereafter.,
02/04/2020,Swindon,Wiltshire,21:45,NS,Y,Y,Heard,,
02/04/2020,"Scalford, Melton Mowbray ",Leicestershire ,22.09,SML,Y,Y,Heard ,Large number of calling birds low over. Wingbeats audible ,
01/04/2020,Doncaster,South Yorkshire,22:10,RJS,Y,Y,Heard ,,
03/04/2020,Stutton,Suffolk,0:12,MN,y,y,Heard ,,
02/04/2020,Hoghton,Lancashire,20.55,MC,Y,Y,Heard,passage lasted until at least 21.30,
02/04/2020,Preston ,Lancashire ,21:10,APB,y,Y,,,
02/04/2020,Severn Beach,South Gloucestershire,22:02,AC,y,Y,Heard,Two calls in five minutes,
02/04/2020,York,North Yorkshire,21.5,MF,Y,Y,Heard,2 flocks - about 10-15 minutes apart,
02/04/2020,Haxby,North Yorkshire,21:50,PLM,Y,Y,Heard,Large flock heard,
02/04/2020,Haxby,North Yorkshire,21:57,PLM,Y,Y,Heard,Several heard,
02/04/2020,Haxby,North Yorkshire,22:00,PLM,Y,Y,Heard,Several heard,
02/04/2020,Wanstead E11,Greater London,23:06,JL,Y,Y,heard+recorded,several birds,
02/04/2020,Chiswick W4,Greater London,22.31,OD,Y,Y,Heard,,
02/04/2020,Chiswick W4,Greater London,22.46,OD,Y,Y,Heard,,
02/04/2020,Dursley,Gloucestershire,NA,KB,N,,,"From 21:00 - 22:00, no calls heard",
02/04/2020,Longton,Lancashire,22:00,SD,Y,Y,Heard,"2 small flocks, 10:00 and 10:15",
02/04/2020,Wyke,Shropshire,22:05,SJD,Y,Y,Heard,,
02/04/2020,"Fulford, York",North Yorkshire,21:52,REC & KJC,Y,Y,Heard,4 flocks over 20 minutes,
03/04/2020,Ipswich,Suffolk,0:10,DFW,Y,Y,Heard and recorded,"2 groups, five minutes apart",
02/04/2020,Wakefield,West Yorkshire,21:40,SDe,Y,Y,Heard,one flock recorded between 21:15 and 21:50,
02/04/2020,Baldock,Hertfordshire ,23:53,RWM,Y,Y,recorded,single series of typical calls,
01/04/2020,Wakefield,West Yorkshire,N/A,SDe,N,,,No records 22:10 to 23:00,
02/04/2020,Chesterton,Cambridgeshire,1:41,SG,Y,Y,Recorded,,
02/04/2020,"Whitchurch, Bristol",Avon,21:18,RMA,Y,Y,heard,Listening from 21:15 to 22:15,
02/04/2020,"Whitchurch, Bristol",Avon,21:20,RMA,Y,Y,heard,Listening from 21:15 to 22:15,
02/04/2020,"Whitchurch, Bristol",Avon,21:22,RMA,Y,Y,heard,Listening from 21:15 to 22:15,
02/04/2020,"Whitchurch, Bristol",Avon,21:30,RMA,Y,Y,heard,Listening from 21:15 to 22:15,
02/04/2020,"Whitchurch, Bristol",Avon,21:50,RMA,Y,Y,heard,Listening from 21:15 to 22:15,
02/04/2020,"Whitchurch, Bristol",Avon,21:58,RMA,Y,Y,heard,Listening from 21:15 to 22:15,
02/04/2020,Hull,Yorkshire,22:17,AG,Y,Y,heard,,
02/04/2020,Hull,Yorkshire,22:22,AG,Y,Y,heard,,
03/04/2020,Sudbury,Suffolk,0:15,RSB,Y,Y,Recorded,,
02/04/2020,"Bedminster, Bristol",Avon,21:37,PEM,Y,Y,heard,Listening from 21:30 to 22:15,
02/04/2020,"Bedminster, Bristol",Avon,22:07,PEM,Y,Y,heard,Listening from 21:30 to 22:15,
02/04/2020,"Bedminster, Bristol",Avon,22:12,PEM,Y,Y,heard,Listening from 21:30 to 22:15,
02/04/2020,Longridge,Lancashire,21:14,GT,Y,Y,heard,Listening from 21:10 to 22:15,
02/04/2020,Longridge,Lancashire,22:01,GT,Y,Y,heard,Listening from 21:10 to 22:15,
02/04/2020,"Acomb, York",North Yorkshire,21:43,CT,Y,Y,Heard,Eastwards,
02/04/2020,"Acomb, York",North Yorkshire,21:51,CT,Y,Y,Heard,"Eastwards, slightly south of me, seemed a small group",
02/04/2020,"Acomb, York",North Yorkshire,21:54,CT,Y,Y,Heard,"Eastwards, directly overhead",
02/04/2020,"Acomb, York",North Yorkshire,21:58,CT,Y,Y,Heard,Eastwards,
02/04/2020,"Acomb, York",North Yorkshire,22:14,CT,Y,Y,Heard,"Eastwards, but to my south",
02/04/2020,"Acomb, York",North Yorkshire,22:18,CT,Y,Y,Heard,Eastwards,
02/04/2020,Berkhamsted,Hertfordshire,22:55,BAM,Y,Y,Heard,Flock,
02/04/2020,Berkhamsted,Hertfordshire,23:26,BAM,Y,Y,Heard,Flock,
02/04/2020,"Grimston, Melton Mowbray",Leicestershire ,22:34,TC,Y,Y,Heard,Small flock heard calling moving NE,
02/04/2020,Farncombe,Surrey,0:08,ES,Y,Y,Recorded,Flock,
02/04/2020,Farncombe,Surrey,1:52,ES,Y,Y,Recorded,Flock,
02/04/2020,Windsor,Berkshire ,,JD,N,,,,
31/03/2020,Kites Hardwick ,Warwickshire,24:15:00,TDC,Y,Y,Recorded,1 bird called 3 times,
02/04/2020,Shipham,Somerset,22:20,CEF,Y,Y,Heard + recorded,2 flocks heard in 40 mins,
02/04/2020,Kites Hardwick,Warwickshire,11:15,TDC,Y,Y,Recorded,2 birds with 19 calls,
02/04/2020,Scarborough,North Yorkshire,2216,CGB,Y,Y,Heard,Flock,
02/04/2020,scarborough,North Yorkshire,2244,CGB,Y,Y,Heard+recorded,Flock,
02/04/2020,Scarborough,North Yorkshire,2258,CGB,Y,Y,Heard+recorded,Flock,Listening 2210-2310
01/04/2020,"Kingswood, Hull",East Yorkshire,2230,AM,Y,Y,Heard,Flocks calling until 2330 at least,
02/04/2020,"Kingswood, Hull",East Yorkshire,2215,AM,Y,Y,Heard,7 out of 8 flocks were distant to north (River Hull),
03/04/2020,Eaton Ford,Cambridgeshire,3.14,RIB,Y,Y,Recorded,"1 bird heard three times, second single call 03:19",
02/04/2020,Aviemore,Highland,,PS,N,,,None heard or recorded,
02/04/2020,Maghull,Merseyside,21:07,DG,Y,Y,Heard,Flock passed quickly and calls fairly quiet,
02/04/2020,Maghull,Merseyside,21:37,DG,Y,Y,Heard,Flock passed quickly and calls fairly quiet,
02/04/2020,Poulton-le-Fylde,Lancashire,20:48,JSc,Y,Y,Heard,,
02/05/2020,Poulton-le-Fylde,Lancashire,20:51,JSc,Y,Y,Heard,,
02/06/2020,Poulton-le-Fylde,Lancashire,20:56,JSc,Y,Y,Heard,,
02/07/2020,Poulton-le-Fylde,Lancashire,20:59,JSc,Y,Y,Heard,,
02/08/2020,Poulton-le-Fylde,Lancashire,21:04,JSc,Y,Y,Heard,,
02/09/2020,Poulton-le-Fylde,Lancashire,21:09,JSc,Y,Y,Heard,,
02/10/2020,Poulton-le-Fylde,Lancashire,21:12,JSc,Y,Y,Heard,,
02/11/2020,Poulton-le-Fylde,Lancashire,21:17,JSc,Y,Y,Heard,,
02/04/2020,Soil Hill,West Yorkshire,21:30,DJB,Y,Y,Heard,5 Flocks between 21:15-21:45,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22.19,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22:21,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22:23,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22:26,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22:33,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22:38,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,22:41,DL,Y,Y,Heard,,
02/04/2020,"Crossgates, Scarborough",North Yorkshire,23:00,DL,Y,Y,Heard,,
02/04/2020,Hunmanby,North Yorkshire,22:12,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:14,WS,Y,Y,Recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:16,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:21,WS,Y,Y,Recorded ,,
02/04/2020,Hunmanby,North Yorkshire,22:24,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:22,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:28,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:29,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:23,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:30,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:31,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:32,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,22:48,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,23:05,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,23:11,WS,Y,Y,Heard + recorded,,
02/04/2020,Hunmanby,North Yorkshire,23:21,WS,Y,Y,Recorded,,
03/04/2020,Woodbridge ,Suffolk,0:12,SM,Y,Y,Heard + recorded,Flock,
04/02/2020,Woodbridge ,Suffolk,0:42,SM,Y,Y,Heard + recorded,This flock more distant than first flock,
02/04/20,Penarth,Glamorgan,21:26,GNS,Y,Y,Rec,,
02/04/2020,Liverpook,Merseyside,21.26,JG,Y,Y,Rec,,
02/04/2020,Liverpool,Merseyside,21.58,JG,Y,Y,Rec,,
02/04/2020,Reading,Berkshire,22:00,FH,Y,Y,Heard + recorded,Distant. Pretty much a constant stream at this time,
03/05/2020,Reading,Berkshire,0:01,FH,Y,Y,Recorded,Sounded very low over my house. First for about an hour,
02/04/2020,"Fletchertown, Aspatria",Cumbria,,RBA Twitter,Y,Y,,,
02/04/2020,Great Corby,Cumbria,22:00,RBA Twitter,Y,Y,,,
02/04/2020,Bagby,North Yorkshire,22:10,AJR,Y,Y,Heard,,
02/04/2020,Bagby,North Yorkshire,22:16,AJR,Y,Y,Heard,,
02/04/2020,Bagby,North Yorkshire,22:28,AJR,Y,Y,Heard,,
02/04/2020,Bagby,North Yorkshire,22:36,AJR,Y,Y,Heard,,
02/04/2020,Bagby,North Yorkshire,23:02,AJR,Y,Y,Heard,,
02/04/2020,Warrington ,Cheshire,22:31,DO,Y,Y,Heard,,
25/03/2020,Beverley,East Yorkshire,20:00,DJW ,N,N,Rec,until midnight,
26/03/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
27/03/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
28/03/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
30/03/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
31/03/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
01/04/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. None recorded after 21:46 (from 21:09 onwards),
02/04/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
03/04/2020,Beverley,East Yorkshire,0:00,DJW ,N,N,Rec,until 8am. 8pm-23:59 also negative,
01/04/2020,Rossendale,Lancashire,0:08,IMB,,Y,Recorded,,
02/04/2020,Buscot Wick,Oxfordshire,22:10,IS,Y,Y,Heard,,
01/04/2020,Beverley,East Yorkshire ,21:15,DJW,Y,Y,Recorded,recording 2 minutes 29 seconds,
01/04/2020,Beverley,East Yorkshire ,21:24,DJW,Y,Y,Recorded,recording 7 seconds,
01/04/2020,Beverley,East Yorkshire ,21:45,DJW,Y,Y,Recorded,recording 8 seconds,
02/04/2020,Edgware,Greater London,23.43,TB,Y,Y,Recorded,recording 20 seconds,
02/04/2020,Edgware,Greater London,0.18,TB,Y,Y,Recorded,recording 15 seconds,
02/04/2020,Byfield,Northamptonshire,20:38,GP,Y,Y,Heard,"Seemed to go NE, 2+ birds presumed ",
02/04/2020,Bowburn,Durham,23:11,MMu,Y,Y,Heard,,
02/04/2020,Edgware,Greater London,0.45,TB,Y,Y,Recorded,recording about 30 seconds though quite faint.  ,
21/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
22/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
23/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
24/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
25/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
26/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
29/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
30/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
31/03/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
01/04/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
02/04/2020,Torry,Aberdeenshire,,ML,N,,Rec,,
31/03/2020,Filey,North Yorkshire,2300,MJP,,Y,Heard,,
02/03/20,Filey ,North Yorkshire,7 flocks between 0130 & 0430,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,22:26,MJP,,Y,Rec,,
02/03/20,Filey,North Yorkshire,22:28,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,22:35,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,22:37,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,22:45,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,22:53,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,23:49,MJP,,Y,Rec,,
02/03/2020,Filey,North Yorkshire,3:29,MJP,,Y,,,
02/04/2020,Marlow Bottom,Buckinghamshire,23:21,ADB,Y,Y,Heard,,
02/04/20,Flamboro ,East Yorkshire ,22:27,JMcL,,Y,heard,,
01/04/20,"Wark, North Tyne",Northumberland,22.35,PRM,Y,Y,Heard,,
02/04/2020,Scarborough,North Yorkshire,10.06,NWA,,Y,Rec,,
02/04/2020,Scarborough,North Yorkshire,10.13,NWA,,Y,Rec,,
02/04/2020,Scarborough,North Yorkshire,10.21,NWA,,Y,Rec,,
02/04/2020,Scarborough,North Yorkshire,10.28,NWA,,Y,Rec,,
02/04/2020,Scarborough,North Yorkshire,10.44,NWA,,Y,Rec,,
02/04/2020,Scarborough,North Yorkshire,10.5,NWA,,Y,,,
03/04/2020,Knaresborough,North Yorkshire,22:35,DRJW,,Y,Rec,3 recordings,
01/04/2020,Flamborough,East Yorkshire,23:52,DS,Y,Y,Rec,Lots of calls lasting for the best part of a minute.,
02/04/2020,Tynemouth,Northumberland,21:57,DW,,Y,Heard,11 flocks over between 21:57 and 22:34,
02/04/2020,Henleaze,Bristol,21:54,MH,,Y,Heard,,
02/04/2020,Henleaze,Bristol,21:56,MH,,Y,Heard,,
02/04/2020,Henleaze,Bristol,21:59,MH,,Y,Heard,,
02/04/2020,Oxford,Oxfordshire,22:16,IJW,Y,Y,Heard,,
02/04/2020,Normanby,North Lincolnshire,22.05 - 22.45,WG,Y,Y,Heard,6 - 7 flocks,
02/04/2020,Alkborough,North Lincolnshire,22.02,ND,Y,Y,Heard,6 flocks,
02/04/2020,Bridgwater,Somerset,22.3,RLM,Y,Y,Heard,,